Role_ID,Industry,Human_Labor_Cost_hr,Tokens_per_Human_Hour,Inference_Cost_2026,Agent_Labor_Equivalent_Cost,Substitution_Elasticity,AI_Augmentation_Factor,Automation_Risk_Index,Hardware_CapEx_Sensitivity,Regulatory_Moat,Substitution_Year_Est
MFG-016,Manufacturing,70.0,174391.0,0.2143,0.0374,0.73,0.83,100,0.42,High,2030
FIN-022,Finance,108.0,215826.0,0.2777,0.0599,0.88,0.9,100,0.46,High,2031
GOV-002,Government,66.0,149188.0,0.0328,0.0049,1.29,0.78,100,0.39,High,2031
FIN-028,Finance,85.0,149092.0,0.7638,0.1139,0.64,0.96,74,0.33,High,2030
MLO-019,MLOps,72.0,87859.0,0.2365,0.0208,0.99,0.83,100,0.21,Low,2027
HLT-064,Healthcare,75.0,180954.0,0.1031,0.0187,0.97,1.0,100,0.06,High,2033
LEG-023,Legal,163.0,444856.0,0.3585,0.1595,0.84,0.75,100,0.46,High,2029
CON-049,Consulting,72.0,133151.0,0.5933,0.079,0.82,0.98,100,0.01,Med,2028
CON-071,Consulting,75.0,128758.0,0.3494,0.045,1.03,0.56,100,0.25,Low,2027
CON-047,Consulting,107.0,242849.0,0.6057,0.1471,0.87,0.72,85,0.36,Low,2027
FIN-006,Finance,83.0,142865.0,0.7399,0.1057,0.87,0.78,98,0.33,Med,2029
EDU-062,Education,60.0,163519.0,0.1075,0.0176,1.05,0.93,100,0.3,High,2032
INS-024,Insurance,84.0,180131.0,0.3923,0.0707,0.8,0.52,100,0.43,Low,2027
MLO-070,MLOps,80.0,122653.0,0.3064,0.0376,1.1,0.83,100,0.2,Med,2029
RET-047,Retail,50.0,85889.0,0.2839,0.0244,0.82,0.72,100,0.46,High,2030
,,,,0.3394,0.0508,0.68,0.85,100,0.27,High,2029
MFG-050,Manufacturing,62.0,156237.0,0.1181,0.0185,0.81,0.64,100,0.44,Med,2030
EDU-030,Education,54.0,117600.0,0.3361,0.0395,0.72,0.5,100,0.35,Low,2028
LEG-080,Legal,62.0,123155.0,0.1252,0.0154,1.11,1.0,100,0.14,High,2032
ENR-022,Energy,74.0,160049.0,0.6464,0.1035,0.61,0.41,98,0.51,Low,2026
LEG-053,Legal,162.0,345858.0,0.4599,0.1591,0.96,0.62,100,0.52,High,2032
FIN-060,Finance,72.0,144048.0,0.2203,0.0317,0.86,1.0,100,0.25,High,2031
ENR-050,Energy,58.0,86998.0,0.751,0.0653,0.87,0.51,100,0.26,Low,2029
EDU-074,Education,28.0,69338.0,0.237,0.0164,1.14,0.93,100,0.2,Med,2030
MFG-059,Manufacturing,64.0,116722.0,0.3618,0.0422,1.0,0.63,100,0.33,Med,2029
INS-036,Insurance,88.0,189265.0,0.091,0.0172,1.18,0.96,100,0.29,High,2029
INS-052,Insurance,37.0,61367.0,0.0765,0.0047,1.14,0.77,100,0.14,Med,2028
LEG-009,Legal,119.0,268270.0,0.5111,0.1371,0.77,0.89,91,0.38,High,2032
TEL-028,Telecom,70.0,164689.0,0.0985,0.0162,0.76,0.64,100,0.4,Low,2027
CRE-075,Creative,53.0,268283.0,0.6581,0.1766,0.57,0.61,11,0.25,Low,2028
HLT-022,Healthcare,136.0,250012.0,0.7774,0.1944,0.78,0.8,76,0.19,High,2030
CON-066,Consulting,111.0,222721.0,0.4071,0.0907,1.02,0.69,100,0.31,Med,2029
TEL-020,Telecom,108.0,253428.0,0.7901,0.2002,0.75,0.91,60,0.48,High,2031
EDU-046,Education,54.0,181112.0,0.3943,0.0714,0.82,0.54,99,0.35,Med,2029
FIN-031,Finance,79.0,148505.0,0.5004,0.0743,0.95,1.0,100,0.04,High,2030
FIN-046,Finance,111.0,217325.0,0.6289,0.1367,0.74,0.9,87,0.41,High,2032
CRE-048,Creative,111.0,379248.0,0.3712,0.1408,0.71,0.78,90,0.36,High,2029
CRE-062,Creative,88.0,366580.0,0.4975,0.1824,0.59,0.46,51,0.35,Med,2027
CRE-024,Creative,67.0,319971.0,0.1433,0.0459,0.91,0.94,100,0.36,Low,2026
RET-006,Retail,39.0,46371.0,0.0375,0.0017,0.93,0.55,100,0.14,Low,2027
ENR-024,Energy,69.0,168673.0,0.4683,0.079,0.88,0.96,100,0.13,High,2031
LOG-028,Logistics,30.0,45224.0,0.047,0.0021,0.89,0.71,100,0.26,Low,2027
CON-034,Consulting,230.0,455958.0,0.3113,0.1419,0.73,0.33,100,0.58,Low,2028
FIN-058,Finance,59.0,80340.0,0.2677,0.0215,1.05,1.0,100,0.08,High,2032
LEG-032,Legal,69.0,102489.0,0.649,0.0665,0.68,0.98,100,0.08,High,2031
RET-058,Retail,55.0,104484.0,0.5759,0.0602,0.74,0.79,100,0.27,High,2029
LEG-056,Legal,150.0,324690.0,0.4462,0.1449,1.19,0.68,100,0.52,High,2029
CRE-016,Creative,92.0,478298.0,0.383,0.1832,0.83,0.87,44,0.45,High,2031
TEL-023,Telecom,84.0,154256.0,0.2702,0.0417,0.71,0.59,100,0.26,Low,2027
FIN-003,Finance,58.0,83259.0,0.4215,0.0351,0.89,0.59,100,0.27,Low,2028
LEG-040,Legal,138.0,317605.0,0.6941,0.2204,0.62,0.76,72,0.19,Med,2028
HLT-031,Healthcare,224.0,418401.0,0.1349,0.0564,0.74,0.53,100,0.42,High,2032
RET-080,Retail,64.0,154927.0,0.2055,0.0318,0.71,0.31,100,0.77,Low,2026
TEL-018,Telecom,70.0,168873.0,0.3068,0.0518,0.62,0.92,100,0.24,High,2030
