Role_ID,Industry,Human_Labor_Cost_hr,Tokens_per_Human_Hour,Inference_Cost_2026,Agent_Labor_Equivalent_Cost,Substitution_Elasticity,AI_Augmentation_Factor,Automation_Risk_Index,Hardware_CapEx_Sensitivity,Regulatory_Moat,Substitution_Year_Est,Industry_is_null,cost_ratio,Inference_Cost_2026_had_negative,Agent_Labor_Equivalent_Cost_had_negative,cost_ratio_had_negative,is_cost_outlier
MFG-016,Manufacturing,70.0,174391.0,0.2143,0.0374,0.73,0.83,100,0.42,High,2030,0,0.0030614285714285,0,0,0,0
FIN-022,Finance,108.0,215826.0,0.2777,0.0599,0.88,0.9,100,0.46,High,2031,0,0.0025712962962962,0,0,0,0
GOV-002,Government,66.0,149188.0,0.0328,0.0049,1.29,0.78,100,0.39,High,2031,0,0.0004969696969696,0,0,0,0
FIN-028,Finance,85.0,149092.0,0.7638,0.1139,0.64,0.96,74,0.33,High,2030,0,0.0089858823529411,0,0,0,0
MLO-019,MLOps,72.0,87859.0,0.2365,0.0208,0.99,0.83,100,0.21,Low,2027,0,0.0032847222222222,0,0,0,0
HLT-064,Healthcare,75.0,180954.0,0.1031,0.0187,0.97,1.0,100,0.06,High,2033,0,0.0013746666666666,0,0,0,0
LEG-023,Legal,163.0,444856.0,0.3585,0.1595,0.84,0.75,100,0.46,High,2029,0,0.0021993865030674,0,0,0,0
CON-049,Consulting,72.0,133151.0,0.5933,0.079,0.82,0.98,100,0.01,Med,2028,0,0.0082402777777777,0,0,0,0
CON-071,Consulting,75.0,128758.0,0.3494,0.045,1.03,0.56,100,0.25,Low,2027,0,0.0046586666666666,0,0,0,0
CON-047,Consulting,107.0,242849.0,0.6057,0.1471,0.87,0.72,85,0.36,Low,2027,0,0.0056607476635514,0,0,0,0
FIN-006,Finance,83.0,142865.0,0.7399,0.1057,0.87,0.78,98,0.33,Med,2029,0,0.0089144578313253,0,0,0,0
EDU-062,Education,60.0,163519.0,0.1075,0.0176,1.05,0.93,100,0.3,High,2032,0,0.0017916666666666,0,0,0,0
INS-024,Insurance,84.0,180131.0,0.3923,0.0707,0.8,0.52,100,0.43,Low,2027,0,0.004670238095238,0,0,0,0
MLO-070,MLOps,80.0,122653.0,0.3064,0.0376,1.1,0.83,100,0.2,Med,2029,0,0.00383,0,0,0,0
RET-047,Retail,50.0,85889.0,0.2839,0.0244,0.82,0.72,100,0.46,High,2030,0,0.005678,0,0,0,0
MFG-050,Manufacturing,62.0,156237.0,0.1181,0.0185,0.81,0.64,100,0.44,Med,2030,0,0.0019048387096774,0,0,0,0
EDU-030,Education,54.0,117600.0,0.3361,0.0395,0.72,0.5,100,0.35,Low,2028,0,0.006224074074074,0,0,0,0
LEG-080,Legal,62.0,123155.0,0.1252,0.0154,1.11,1.0,100,0.14,High,2032,0,0.0020193548387096,0,0,0,0
ENR-022,Energy,74.0,160049.0,0.6464,0.1035,0.61,0.41,98,0.51,Low,2026,0,0.0087351351351351,0,0,0,0
LEG-053,Legal,162.0,345858.0,0.4599,0.1591,0.96,0.62,100,0.52,High,2032,0,0.0028388888888888,0,0,0,0
FIN-060,Finance,72.0,144048.0,0.2203,0.0317,0.86,1.0,100,0.25,High,2031,0,0.0030597222222222,0,0,0,0
ENR-050,Energy,58.0,86998.0,0.751,0.0653,0.87,0.51,100,0.26,Low,2029,0,0.0129482758620689,0,0,0,0
EDU-074,Education,28.0,69338.0,0.237,0.0164,1.14,0.93,100,0.2,Med,2030,0,0.0084642857142857,0,0,0,0
MFG-059,Manufacturing,64.0,116722.0,0.3618,0.0422,1.0,0.63,100,0.33,Med,2029,0,0.005653125,0,0,0,0
INS-036,Insurance,88.0,189265.0,0.091,0.0172,1.18,0.96,100,0.29,High,2029,0,0.0010340909090909,0,0,0,0
